Date,Open,High,Low,Close,Adj Close,Volume
2018-06-14,6.699999809265137,6.699999809265137,6.599999904632568,6.599999904632568,6.599999904632568,4358
2018-06-15,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,0
2018-06-18,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,0
2018-06-19,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,0
2018-06-20,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,0
2018-06-21,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,0
2018-06-22,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,6.599999904632568,0
2018-06-25,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,6.949999809265137,4900
2018-06-26,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,1000
2018-06-27,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,0
2018-06-28,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,6.800000190734863,400
2018-06-29,6.739999771118164,6.739999771118164,6.739999771118164,6.739999771118164,6.739999771118164,1000
2018-07-02,6.639100074768066,6.639100074768066,6.639100074768066,6.639100074768066,6.639100074768066,4764
2018-07-03,6.639100074768066,6.639100074768066,6.639100074768066,6.639100074768066,6.639100074768066,0
2018-07-05,6.639100074768066,6.639100074768066,6.639100074768066,6.639100074768066,6.639100074768066,0
2018-07-06,6.639100074768066,6.639100074768066,6.639100074768066,6.639100074768066,6.639100074768066,0
2018-07-09,6.639100074768066,6.639100074768066,6.639100074768066,6.639100074768066,6.639100074768066,0
2018-07-10,7.179999828338623,7.179999828338623,7.179999828338623,7.179999828338623,7.179999828338623,1500
2018-07-11,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,2975
2018-07-12,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,7.400000095367432,0
2018-07-13,7.340000152587891,7.349999904632568,7.340000152587891,7.349999904632568,7.349999904632568,3391
2018-07-16,7.400000095367432,7.5,7.349999904632568,7.5,7.5,1150
2018-07-17,7.599999904632568,7.599999904632568,7.5,7.5,7.5,940
2018-07-18,7.449999809265137,7.900000095367432,7.449999809265137,7.900000095367432,7.900000095367432,1400
2018-07-19,7.889999866485596,7.889999866485596,7.889999866485596,7.889999866485596,7.889999866485596,100
2018-07-20,7.889999866485596,7.889999866485596,7.889999866485596,7.889999866485596,7.889999866485596,0
2018-07-23,8.300000190734863,8.5,8.300000190734863,8.5,8.5,4062
2018-07-24,8.5,8.5,8.300000190734863,8.5,8.5,1346
